2026-02-13T16:49:47.330+05:30 ERROR 14028 --- [http-nio-5002-exec-4] com.parkease.security.JwtUtils           : Invalid JWT token: JWT strings must contain exactly 2 period characters. Found: 0
2026-02-13T16:49:47.331+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:47.331+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:47.334+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Securing POST /error
2026-02-13T16:49:47.334+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.security.web.FilterChainProxy        : Secured POST /error
2026-02-13T16:49:47.339+05:30 DEBUG 14028 --- [http-nio-5002-exec-4] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:51.710+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=sppqwo3r
2026-02-13T16:49:51.711+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:51.711+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:51.713+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Securing GET /error?EIO=4&transport=polling&t=sppqwo3r
2026-02-13T16:49:51.714+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.security.web.FilterChainProxy        : Secured GET /error?EIO=4&transport=polling&t=sppqwo3r
2026-02-13T16:49:51.719+05:30 DEBUG 14028 --- [http-nio-5002-exec-8] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:55.838+05:30 DEBUG 14028 --- [http-nio-5002-exec-7] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/bookings/my
2026-02-13T16:49:55.839+05:30 DEBUG 14028 --- [http-nio-5002-exec-5] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/bookings/my
2026-02-13T16:49:55.861+05:30 DEBUG 14028 --- [http-nio-5002-exec-1] o.s.security.web.FilterChainProxy        : Securing GET /api/bookings/my
2026-02-13T16:49:55.896+05:30 DEBUG 14028 --- [http-nio-5002-exec-1] com.parkease.security.AuthTokenFilter    : User authenticated: driver_new_test_6@example.com with authorities: [ROLE_USER]
2026-02-13T16:49:55.897+05:30 DEBUG 14028 --- [http-nio-5002-exec-1] o.s.security.web.FilterChainProxy        : Secured GET /api/bookings/my
2026-02-13T16:49:55.899+05:30 DEBUG 14028 --- [http-nio-5002-exec-1] horizationManagerBeforeMethodInterceptor : Authorizing method invocation ReflectiveMethodInvocation: public org.springframework.http.ResponseEntity com.parkease.controller.BookingController.getMyBookings(org.springframework.security.core.userdetails.UserDetails); target is of class [com.parkease.controller.BookingController]
2026-02-13T16:49:55.900+05:30 DEBUG 14028 --- [http-nio-5002-exec-1] horizationManagerBeforeMethodInterceptor : Authorized method invocation ReflectiveMethodInvocation: public org.springframework.http.ResponseEntity com.parkease.controller.BookingController.getMyBookings(org.springframework.security.core.userdetails.UserDetails); target is of class [com.parkease.controller.BookingController]
2026-02-13T16:49:55.903+05:30  INFO 14028 --- [http-nio-5002-exec-1] com.parkease.service.BookingService      : DEBUG: Fetching bookings for user ID: 527b56af-3785-46b7-84a8-74876c5475ac
2026-02-13T16:49:55.912+05:30  INFO 14028 --- [http-nio-5002-exec-1] com.parkease.service.BookingService      : DEBUG: Found 0 bookings.
2026-02-13T16:49:55.917+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.security.web.FilterChainProxy        : Securing GET /api/bookings/my
2026-02-13T16:49:55.943+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] com.parkease.security.AuthTokenFilter    : User authenticated: driver_new_test_6@example.com with authorities: [ROLE_USER]
2026-02-13T16:49:55.944+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] o.s.security.web.FilterChainProxy        : Secured GET /api/bookings/my
2026-02-13T16:49:55.946+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] horizationManagerBeforeMethodInterceptor : Authorizing method invocation ReflectiveMethodInvocation: public org.springframework.http.ResponseEntity com.parkease.controller.BookingController.getMyBookings(org.springframework.security.core.userdetails.UserDetails); target is of class [com.parkease.controller.BookingController]
2026-02-13T16:49:55.947+05:30 DEBUG 14028 --- [http-nio-5002-exec-2] horizationManagerBeforeMethodInterceptor : Authorized method invocation ReflectiveMethodInvocation: public org.springframework.http.ResponseEntity com.parkease.controller.BookingController.getMyBookings(org.springframework.security.core.userdetails.UserDetails); target is of class [com.parkease.controller.BookingController]
2026-02-13T16:49:55.948+05:30  INFO 14028 --- [http-nio-5002-exec-2] com.parkease.service.BookingService      : DEBUG: Fetching bookings for user ID: 527b56af-3785-46b7-84a8-74876c5475ac
2026-02-13T16:49:55.954+05:30  INFO 14028 --- [http-nio-5002-exec-2] com.parkease.service.BookingService      : DEBUG: Found 0 bookings.
2026-02-13T16:49:57.612+05:30 DEBUG 14028 --- [http-nio-5002-exec-10] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/parkings
2026-02-13T16:49:57.612+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=spuaxy3v
2026-02-13T16:49:57.615+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.AnonymousAuthenticationFilter  : Set SecurityContextHolder to anonymous SecurityContext
2026-02-13T16:49:57.617+05:30 DEBUG 14028 --- [http-nio-5002-exec-3] o.s.s.w.a.Http403ForbiddenEntryPoint     : Pre-authenticated entry point called. Rejecting access
2026-02-13T16:49:57.618+05:30 DEBUG 14028 --- [http-nio-5002-exec-9] o.s.security.web.FilterChainProxy        : Securing OPTIONS /api/parkings
2026-02-13T16:49:57.621+05:30 DEBUG 14028 --- [http-nio-5002-exec-6] o.s.security.web.FilterChainProxy        : Securing GET /socket.io/?EIO=4&transport=polling&t=spuazdcy
